,x,y,w,h,frame_id
333,2576,315,121,56,185
334,2444,234,157,73,186
335,3048,285,151,67,186
336,2849,292,136,67,186
337,2698,306,125,60,186
338,2560,314,118,58,186
339,3096,333,139,34,186
340,2422,234,164,75,187
341,3027,285,149,68,187
342,2832,294,132,67,187
343,2674,307,150,74,187
344,2542,317,118,55,187
345,2413,232,163,77,188
346,3005,288,148,66,188
347,2813,294,134,67,188
348,2658,308,126,58,188
349,2403,232,156,78,189
350,2985,289,144,65,189
351,2795,296,133,66,189
352,2638,309,129,59,189
353,2509,319,115,55,189
354,2390,231,154,78,190
355,2971,289,141,65,190
356,2775,296,134,68,190
357,2624,312,127,55,190
358,2493,320,114,55,190
359,2384,229,138,80,191
360,2944,292,142,63,191
361,2705,297,195,84,191
362,2607,312,124,56,191
363,2476,319,114,57,191
364,2353,228,153,80,192
365,2924,292,141,65,192
366,2740,298,130,66,192
367,2591,314,112,55,192
368,2461,320,112,56,192
369,2351,227,141,81,193
370,2903,289,141,69,193
371,2718,298,134,67,193
372,2574,314,123,57,193
373,2443,320,114,56,193
374,2340,226,134,78,194
375,2884,292,137,65,194
376,2704,299,128,66,194
377,2557,313,122,58,194
378,2426,322,113,55,194
379,2316,224,145,79,195
380,2865,295,137,63,195
381,2685,304,139,76,195
382,2541,314,119,58,195
383,2412,322,121,66,195
384,2303,224,147,76,196
385,2845,293,126,67,196
386,2667,303,126,64,196
387,2523,316,118,58,196
388,2398,323,108,55,196
389,2294,224,140,75,197
390,2825,294,135,68,197
391,2644,304,134,64,197
392,2380,323,110,56,197
393,2285,218,140,81,198
394,2808,295,135,65,198
395,2628,303,128,66,198
396,2491,320,115,54,198
397,2364,325,110,54,198
398,2265,220,145,78,199
399,2792,295,131,67,199
400,2614,303,125,66,199
401,2469,319,124,69,199
402,2348,326,111,54,199
403,2263,219,129,78,200
404,2769,296,135,68,200
405,2595,305,127,64,200
406,2462,319,109,56,200
407,2331,326,109,55,200
408,2252,218,138,79,201
409,2752,297,131,67,201
410,2580,307,121,63,201
411,2441,321,113,54,201
412,2316,327,109,55,201
413,2240,218,140,76,202
414,2736,297,133,67,202
415,2562,310,123,61,202
416,2424,322,112,54,202
417,2302,328,107,55,202
418,2231,215,129,78,203
419,2718,295,127,69,203
420,2546,307,123,65,203
421,2408,323,112,54,203
422,2286,329,106,53,203
423,2220,214,134,79,204
424,2704,295,122,71,204
425,2529,310,121,63,204
426,2389,322,116,56,204
427,2268,329,109,55,204
428,2208,216,129,75,205
429,2682,296,134,70,205
430,2512,312,123,60,205
431,2373,322,88,57,205
432,2254,329,105,55,205
433,2195,216,131,75,206
434,2665,298,122,68,206
435,2497,312,120,64,206
436,2360,321,114,58,206
437,2240,330,105,56,206
438,2180,212,136,78,207
439,2648,298,126,69,207
440,2473,313,127,74,207
441,2343,326,114,54,207
442,2229,330,100,56,207
443,2164,212,139,77,208
444,2632,300,120,67,208
445,2465,314,116,61,208
446,2328,328,112,52,208
447,2208,332,106,54,208
448,2155,211,131,76,209
449,2614,299,119,69,209
450,2448,316,116,60,209
451,2313,328,112,53,209
452,2192,333,106,64,209
453,2142,212,132,77,210
454,2597,301,122,68,210
455,2432,316,113,60,210
456,2297,328,111,54,210
457,2177,334,105,54,210
458,2130,211,131,76,211
459,2579,300,119,71,211
460,2416,318,112,71,211
461,2282,329,109,53,211
462,2137,336,103,62,211
463,2114,208,135,78,212
464,2564,298,119,73,212
465,2400,318,112,60,212
466,2266,329,109,54,212
467,2137,335,99,64,212
468,2103,209,132,75,213
469,2545,303,117,69,213
470,2377,319,119,72,213
471,2250,330,123,66,213
472,2129,336,105,54,213
473,2088,208,134,76,214
474,2530,298,120,74,214
475,2366,318,117,61,214
476,2238,331,107,55,214
477,2115,336,107,55,214
478,2075,208,135,73,215
479,2510,298,123,76,215
480,2348,321,111,59,215
481,2220,332,106,64,215
482,2097,337,108,63,215
483,2062,207,137,74,216
484,2495,297,116,76,216
485,2334,320,116,60,216
486,2204,334,109,52,216
487,2084,336,152,65,216
488,2052,208,131,73,217
489,2480,297,117,78,217
490,2318,323,114,58,217
491,2191,336,104,51,217
492,2066,337,170,64,217
493,2041,206,129,73,218
494,2464,297,116,78,218
495,2304,322,113,60,218
496,2164,336,117,53,218
497,2047,337,114,65,218
498,2032,206,126,74,219
499,2451,296,112,79,219
500,2288,323,114,59,219
501,2034,337,114,65,219
502,2160,337,80,52,219
503,2020,203,134,77,220
504,2419,296,127,79,220
505,2272,324,112,59,220
506,2144,336,92,54,220
507,2024,338,104,56,220
508,2007,205,125,74,221
509,2415,294,114,82,221
510,2258,326,114,57,221
511,2022,337,213,66,221
512,2017,339,95,55,221
513,2003,204,119,73,222
514,2392,293,131,83,222
515,2242,327,109,57,222
516,1994,337,167,66,222
517,2114,338,108,52,222
518,1997,205,110,70,223
519,2362,294,149,82,223
520,2226,327,111,57,223
521,1979,336,103,59,223
522,1972,204,124,70,224
523,2357,312,133,66,224
524,2208,328,114,58,224
525,1964,338,103,57,224
526,2081,339,116,62,224
527,1964,203,123,73,225
528,2342,291,133,87,225
529,2194,329,115,58,225
530,2062,339,113,63,225
531,1949,343,78,55,225
532,1958,203,111,71,226
533,2323,290,133,88,226
534,2176,328,111,69,226
535,1936,338,102,60,226
536,2053,340,103,53,226
537,1942,202,118,71,227
538,2314,315,121,61,227
539,2166,330,106,58,227
540,2034,340,106,54,227
541,1918,343,100,56,227
542,1929,202,120,71,228
543,2303,288,125,88,228
544,2152,330,104,59,228
545,1901,343,106,57,228
546,2023,343,102,51,228
547,1915,202,123,70,229
548,2288,318,140,57,229
549,2007,331,230,72,229
550,1888,342,106,58,229
551,1904,197,125,73,230
552,2256,288,158,87,230
553,2121,333,107,57,230
554,1990,344,109,59,230
555,1873,346,103,55,230
556,1892,200,129,70,231
557,2276,288,69,31,231
558,2256,318,158,56,231
559,2094,334,130,66,231
560,1976,343,104,54,231
561,1859,345,104,57,231
562,1882,202,119,70,232
563,2261,285,68,36,232
564,2250,320,116,52,232
565,2089,335,105,56,232
566,1961,343,103,54,232
567,1841,344,106,59,232
568,1870,202,123,71,233
569,2248,286,67,35,233
570,2230,321,119,50,233
571,2062,336,119,66,233
572,1947,342,103,55,233
573,1827,344,106,58,233
574,1856,203,134,68,234
575,2228,284,78,39,234
576,2208,321,125,47,234
577,2058,336,109,58,234
578,1927,344,92,53,234
579,1808,347,112,56,234
580,1844,203,138,65,235
581,2212,284,76,40,235
582,2208,322,112,46,235
583,2042,336,106,57,235
584,1797,344,108,60,235
585,1849,344,170,64,235
586,1836,203,129,66,236
587,2196,284,78,40,236
588,2188,322,118,46,236
589,2025,338,108,56,236
590,1781,344,229,66,236
591,1900,344,106,55,236
592,1829,202,122,67,237
593,2179,282,113,86,237
594,2004,338,120,65,237
595,1776,345,62,33,237
596,1882,346,112,54,237
597,1812,347,61,56,237
598,1760,378,57,33,237
599,1806,203,132,68,238
600,2144,282,130,87,238
601,2006,337,97,66,238
602,1760,346,64,33,238
603,1865,347,111,54,238
604,1746,367,112,45,238
605,1794,204,132,66,239
606,2141,282,117,87,239
607,1980,338,108,58,239
608,1744,345,72,36,239
609,1855,349,104,53,239
610,1736,378,104,35,239
611,1781,203,134,68,240
612,2142,281,90,46,240
613,2137,324,108,49,240
614,1966,340,106,56,240
615,1730,348,75,33,240
616,1840,348,102,55,240
617,1721,380,107,33,240
618,1770,204,130,68,241
619,2098,279,133,91,241
620,1952,338,106,60,241
621,1712,348,100,65,241
622,1817,348,119,61,241
623,1753,204,134,67,242
624,2077,281,143,89,242
625,1936,341,85,57,242
626,1808,347,112,57,242
627,1696,381,100,32,242
628,1743,204,132,69,243
629,2078,281,121,87,243
630,1921,344,99,54,243
631,1681,351,101,62,243
632,1793,351,110,52,243
633,1728,204,134,70,244
634,2066,280,126,88,244
635,1903,343,107,56,244
636,1668,346,76,35,244
637,1778,350,104,61,244
638,1717,206,134,67,245
639,2065,279,107,89,245
640,1888,344,108,56,245
641,1654,348,74,34,245
642,1761,352,106,60,245
643,1635,384,58,34,245
644,1702,208,124,67,246
645,2054,280,103,86,246
646,1872,345,108,55,246
647,1639,349,73,34,246
648,1724,369,130,44,246
649,1620,386,59,33,246
650,1688,208,133,66,247
651,2035,277,107,89,247
652,1859,345,108,63,247
653,1624,352,73,32,247
654,1724,381,113,32,247
655,1605,386,65,33,247
656,1675,208,134,67,248
657,2022,277,107,88,248
658,1847,344,102,58,248
659,1608,352,72,32,248
660,1723,380,100,33,248
661,1589,385,113,36,248
662,1664,207,133,71,249
663,2008,277,117,88,249
664,1828,346,107,63,249
665,1708,351,98,62,249
666,1592,352,73,32,249
667,1573,385,107,36,249
668,1649,209,143,69,250
669,1990,276,124,84,250
670,1813,347,107,55,250
671,1576,351,74,35,250
672,1692,352,99,61,250
673,1552,385,116,37,250
674,1635,208,138,71,251
675,1979,277,105,55,251
676,1979,330,117,31,251
677,1799,342,107,61,251
678,1560,350,72,36,251
679,1678,352,98,61,251
680,1537,383,123,40,251
681,1619,208,141,71,252
682,1965,274,111,87,252
683,1782,342,108,63,252
684,1544,352,75,34,252
685,1652,383,108,35,252
686,1522,387,136,36,252
687,1608,209,138,71,253
688,1950,274,114,86,253
689,1768,347,106,59,253
690,1648,352,72,32,253
691,1528,353,75,35,253
692,1512,384,232,40,253
693,1601,211,137,71,254
694,1936,276,112,79,254
695,1762,348,64,31,254
696,1629,351,75,32,254
697,1512,352,75,35,254
698,1752,365,106,47,254
699,1489,386,179,38,254
700,1592,212,130,70,255
701,1925,272,107,61,255
702,1746,347,75,34,255
703,1616,352,73,31,255
704,1496,354,76,33,255
705,1736,376,105,37,255
706,1472,386,196,39,255
707,1578,212,133,71,256
708,1910,272,114,64,256
709,1724,348,103,65,256
710,1480,353,77,37,256
711,1456,386,212,40,256
712,1566,213,133,71,257
713,1896,273,116,62,257
714,1714,349,75,32,257
715,1584,352,75,34,257
716,1464,353,76,36,257
717,1716,381,96,32,257
718,1441,387,231,39,257
719,1544,213,145,72,258
720,1880,272,122,64,258
721,1697,348,100,65,258
722,1568,352,72,33,258
723,1427,355,239,72,258
724,1543,214,129,72,259
725,1865,272,124,68,259
726,1680,348,80,33,259
727,1552,352,73,35,259
728,1432,354,75,36,259
729,1723,382,58,31,259
730,1534,213,125,75,260
731,1847,274,122,70,260
732,1668,349,75,33,260
733,1536,354,72,32,260
734,1416,356,76,33,260
735,1713,382,53,31,260
736,1518,213,135,77,261
737,1841,274,113,73,261
738,1652,350,76,33,261
739,1520,353,72,34,261
740,1399,356,76,34,261
741,1633,385,55,34,261
742,1507,216,128,76,262
743,1824,273,122,74,262
744,1636,349,76,34,262
745,1382,354,77,38,262
746,1504,354,77,34,262
747,1618,385,54,34,262
748,1500,217,124,78,263
749,1802,273,131,75,263
750,1622,350,74,33,263
751,1364,353,79,41,263
752,1487,355,77,34,263
753,1478,217,135,80,264
754,1786,271,132,78,264
755,1605,351,75,34,264
756,1346,358,82,35,264
757,1472,358,75,31,264
758,1585,385,85,36,264
759,1468,219,129,76,265
760,1770,271,137,78,265
761,1589,351,76,34,265
762,1329,353,84,39,265
763,1456,359,74,31,265
764,1569,385,102,36,265
765,1454,220,132,78,266
766,1756,270,132,80,266
767,1573,352,77,33,266
768,1312,358,83,35,266
769,1440,360,75,31,266
770,1550,386,118,36,266
771,1446,221,123,77,267
772,1736,271,138,78,267
773,1560,350,74,36,267
774,1296,358,80,36,267
775,1432,223,128,78,268
776,1724,271,136,78,268
777,1542,351,77,35,268
778,1280,360,80,34,268
779,1404,360,81,32,268
780,1518,388,125,35,268
781,1410,222,139,81,269
782,1713,272,127,76,269
783,1526,352,77,35,269
784,1261,360,83,35,269
